"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2018","61.29","61.29","61.29","61.29","","0.21%"
"02/12/2018","61.16","61.16","61.16","61.16","","-0.10%"
"02/09/2018","61.22","61.22","61.22","61.22","","-2.27%"
"02/08/2018","62.64","62.64","62.64","62.64","","-0.79%"
"02/07/2018","63.14","63.14","63.14","63.14","","-1.76%"
"02/06/2018","64.27","64.27","64.27","64.27","","-1.11%"
"02/05/2018","64.99","64.99","64.99","64.99","","-1.14%"
"02/02/2018","65.74","65.74","65.74","65.74","","-1.48%"
"02/01/2018","66.73","66.73","66.73","66.73","","0.82%"
"01/31/2018","66.19","66.19","66.19","66.19","","-0.02%"
"01/30/2018","66.20","66.20","66.20","66.20","","-0.05%"
"01/29/2018","66.23","66.23","66.23","66.23","","-0.14%"
"01/26/2018","66.32","66.32","66.32","66.32","","0.09%"
"01/25/2018","66.26","66.26","66.26","66.26","","-0.08%"
"01/24/2018","66.31","66.31","66.31","66.31","","0.15%"
"01/23/2018","66.21","66.21","66.21","66.21","","0.36%"
"01/22/2018","65.97","65.97","65.97","65.97","","0.23%"
"01/19/2018","65.82","65.82","65.82","65.82","","-0.39%"
"01/18/2018","66.08","66.08","66.08","66.08","","-0.08%"
"01/17/2018","66.13","66.13","66.13","66.13","","0.12%"
"01/16/2018","66.05","66.05","66.05","66.05","","-0.47%"
"01/12/2018","66.36","66.36","66.36","66.36","","0.44%"
"01/11/2018","66.07","66.07","66.07","66.07","","0.09%"
"01/10/2018","66.01","66.01","66.01","66.01","","0.30%"
"01/09/2018","65.81","65.81","65.81","65.81","","1.11%"
"01/08/2018","65.09","65.09","65.09","65.09","","0.23%"
"01/05/2018","64.94","64.94","64.94","64.94","","-0.57%"
"01/04/2018","65.31","65.31","65.31","65.31","","0.11%"
"01/03/2018","65.24","65.24","65.24","65.24","","1.91%"
"01/02/2018","64.02","64.02","64.02","64.02","","3.93%"
"12/29/2017","61.60","61.60","61.60","61.60","","0.06%"
"12/28/2017","61.56","61.56","61.56","61.56","","0.07%"
"12/27/2017","61.52","61.52","61.52","61.52","","-0.13%"
"12/26/2017","61.60","61.60","61.60","61.60","","0.74%"
"12/22/2017","61.15","61.15","61.15","61.15","","-0.24%"
"12/21/2017","61.30","61.30","61.30","61.30","","0.03%"
"12/20/2017","61.28","61.28","61.28","61.28","","0.43%"
"12/19/2017","61.02","61.02","61.02","61.02","","0.36%"
"12/18/2017","60.80","60.80","60.80","60.80","","0.16%"
"12/15/2017","60.70","60.70","60.70","60.70","","0.08%"
"12/14/2017","60.65","60.65","60.65","60.65","","0.88%"
"12/13/2017","60.12","60.12","60.12","60.12","","-0.73%"
"12/12/2017","60.56","60.56","60.56","60.56","","-1.72%"
"12/11/2017","61.62","61.62","61.62","61.62","","1.28%"
"12/08/2017","60.84","60.84","60.84","60.84","","1.03%"
"12/07/2017","60.22","60.22","60.22","60.22","","1.48%"
"12/06/2017","59.34","59.34","59.34","59.34","","-2.00%"
"12/05/2017","60.55","60.55","60.55","60.55","","0.88%"
"12/04/2017","60.02","60.02","60.02","60.02","","-1.98%"
"12/01/2017","61.23","61.23","61.23","61.23","","0.67%"
"11/30/2017","60.82","60.82","60.82","60.82","","0.03%"
"11/29/2017","60.80","60.80","60.80","60.80","","0.00%"
"11/28/2017","60.80","60.80","60.80","60.80","","-0.13%"
"11/27/2017","60.88","60.88","60.88","60.88","","-0.07%"
"11/24/2017","60.92","60.92","60.92","60.92","","0.23%"
"11/22/2017","60.78","60.78","60.78","60.78","","0.25%"
"11/21/2017","60.63","60.63","60.63","60.63","0.01K","0.13%"
"11/20/2017","60.55","60.55","60.55","60.55","0.40K","-0.44%"
"11/17/2017","60.82","60.82","60.82","60.82","","1.00%"
"11/16/2017","60.22","60.22","60.22","60.22","","-0.45%"
"11/15/2017","60.49","60.49","60.49","60.49","","-0.33%"
"11/14/2017","60.69","60.69","60.69","60.69","","-0.80%"
"11/13/2017","61.18","61.18","61.18","61.18","","-0.20%"
"11/10/2017","61.30","61.30","61.30","61.30","","-0.42%"
"11/09/2017","61.56","61.56","61.56","61.56","","0.69%"
"11/08/2017","61.14","61.14","61.14","61.14","","-0.10%"
"11/07/2017","61.20","61.20","61.20","61.20","","-1.02%"
"11/06/2017","61.83","61.83","61.83","61.83","","2.79%"
"11/03/2017","60.15","60.15","60.15","60.15","","2.17%"
"11/02/2017","58.87","58.87","58.87","58.87","","0.24%"
"11/01/2017","58.73","58.73","58.73","58.73","","5.72%"
"10/31/2017","55.55","55.55","55.55","55.55","","0.02%"
"10/30/2017","55.54","55.54","55.54","55.54","","-0.02%"
"10/27/2017","55.55","55.55","55.55","55.55","","0.18%"
"10/26/2017","55.45","55.45","55.45","55.45","","0.20%"
"10/25/2017","55.34","55.34","55.34","55.34","","-0.09%"
"10/24/2017","55.39","55.39","55.39","55.39","","0.45%"
"10/23/2017","55.14","55.14","55.14","55.14","","-0.24%"
"10/20/2017","55.27","55.27","55.27","55.27","","0.25%"
"10/19/2017","55.13","55.13","55.13","55.13","","-0.63%"
"10/18/2017","55.48","55.48","55.48","55.48","","0.20%"
"10/17/2017","55.37","55.37","55.37","55.37","","0.05%"
"10/16/2017","55.34","55.34","55.34","55.34","","0.55%"
"10/13/2017","55.04","55.04","55.04","55.04","","0.92%"
"10/12/2017","54.54","54.54","54.54","54.54","","-0.53%"
"10/11/2017","54.83","54.83","54.83","54.83","","0.40%"
"10/10/2017","54.61","54.61","54.61","54.61","","0.94%"
"10/09/2017","54.10","54.10","54.10","54.10","","0.28%"
"10/06/2017","53.95","53.95","53.95","53.95","","-2.30%"
"10/05/2017","55.22","55.22","55.22","55.22","","1.71%"
"10/04/2017","54.29","54.29","54.29","54.29","","-0.24%"
"10/03/2017","54.42","54.42","54.42","54.42","","-0.55%"
"10/02/2017","54.72","54.72","54.72","54.72","","1.96%"
"09/29/2017","53.67","53.67","53.67","53.67","","0.07%"
"09/28/2017","53.63","53.63","53.63","53.63","","-0.07%"
"09/27/2017","53.67","53.67","53.67","53.67","","-0.19%"
"09/26/2017","53.77","53.77","53.77","53.77","","-0.28%"
"09/25/2017","53.92","53.92","53.92","53.92","","0.60%"
"09/22/2017","53.60","53.60","53.60","53.60","","0.15%"
"09/21/2017","53.52","53.52","53.52","53.52","","0.02%"
"09/20/2017","53.51","53.51","53.51","53.51","","0.79%"
"09/19/2017","53.09","53.09","53.09","53.09","","-0.30%"
"09/18/2017","53.25","53.25","53.25","53.25","","-0.06%"
"09/15/2017","53.28","53.28","53.28","53.28","","0.11%"
"09/14/2017","53.22","53.22","53.22","53.22","","0.30%"
"09/13/2017","53.06","53.06","53.06","53.06","","0.91%"
"09/12/2017","52.58","52.58","52.58","52.58","0.10K","0.44%"
"09/11/2017","52.35","52.35","52.35","52.35","","0.21%"
"09/08/2017","52.24","52.24","52.24","52.24","","-1.02%"
"09/07/2017","52.78","52.78","52.78","52.78","","0.04%"
"09/06/2017","52.76","52.76","52.76","52.76","","1.42%"
"09/05/2017","52.02","52.02","52.02","52.02","","1.03%"
"09/01/2017","51.49","51.49","51.49","51.49","","2.53%"
"08/31/2017","50.22","50.22","50.22","50.22","0.33K","0.00%"
"08/30/2017","50.22","50.22","50.22","50.22","0.15K","-0.06%"
