Date,Total Compound Score,Avg Classification,Scaled Total Compound Score
20160901,2.32,0.27,0.18
20160902,1.01,0.2,0.07
20160903,0.99,1.0,0.07
20160904,-1.89,-0.6,-0.18
20160905,4.05,0.27,0.33
20160906,1.08,0.11,0.08
20160907,4.96,0.45,0.41
20160908,3.16,0.29,0.26
20160909,-2.91,-0.43,-0.27
20160910,-0.99,-1.0,-0.1
20160911,-3.05,-0.33,-0.28
20160912,-0.8,0.0,-0.09
20160913,-3.47,-0.23,-0.32
20160914,4.24,0.45,0.35
20160915,-4.25,-0.27,-0.38
20160916,-6.35,-0.78,-0.57
20160917,0.06,0.0,-0.01
20160918,3.28,0.33,0.27
20160919,0.38,-0.08,0.02
20160920,1.1,0.0,0.08
20160921,5.92,0.6,0.49
20160922,4.04,0.38,0.33
20160923,0.15,-0.14,-0.0
20160924,0.08,1.0,-0.01
20160925,2.62,0.6,0.21
20160926,-2.19,-0.2,-0.21
20160927,-3.95,-0.33,-0.36
20160928,1.99,0.07,0.16
20160929,-2.92,-0.29,-0.27
20160930,-3.42,-0.67,-0.31
20161001,-3.42,-0.67,-0.31
20161002,-0.87,0.0,-0.09
20161003,0.03,0.14,-0.01
20161004,-0.31,0.11,-0.04
20161005,4.62,0.38,0.38
20161006,-2.03,-0.14,-0.19
20161007,-0.75,-0.14,-0.08
20161008,-0.75,-0.14,-0.08
20161009,-1.73,-0.11,-0.17
20161010,4.03,0.29,0.33
20161011,-2.65,-0.27,-0.25
20161012,-0.31,0.0,-0.04
20161013,2.07,0.08,0.16
20161014,1.55,0.5,0.12
20161015,0.98,1.0,0.07
20161016,-2.09,-0.14,-0.2
20161017,-0.13,0.0,-0.03
20161018,5.17,0.45,0.43
20161019,1.84,0.33,0.14
20161020,-3.96,-0.5,-0.36
20161021,1.53,0.5,0.12
20161022,1.0,1.0,0.07
20161023,-3.28,-0.67,-0.3
20161024,-3.28,-0.43,-0.3
20161025,0.16,0.0,-0.0
20161026,-0.38,0.0,-0.05
20161027,5.96,0.38,0.5
20161028,-4.05,-0.45,-0.37
20161029,-4.05,-0.45,-0.37
20161030,-3.18,-0.67,-0.29
20161031,-1.34,-0.25,-0.13
20161101,-0.47,0.0,-0.06
20161102,-0.07,0.0,-0.02
20161103,7.09,0.82,0.6
20161104,-3.97,-0.67,-0.36
20161105,-3.97,-0.67,-0.36
20161106,0.9,0.33,0.06
20161107,2.76,0.33,0.22
20161108,0.11,0.0,-0.01
20161109,-0.25,0.0,-0.04
20161110,-2.45,-0.14,-0.23
20161111,-4.25,-0.71,-0.38
20161112,-4.25,-0.71,-0.38
20161113,-0.35,0.0,-0.05
20161114,-1.0,-0.11,-0.1
20161115,-0.39,0.0,-0.05
20161116,-1.46,-0.12,-0.14
20161117,0.81,0.0,0.05
20161118,1.18,0.14,0.09
20161119,0.88,1.0,0.06
20161120,-0.16,0.0,-0.03
20161121,6.55,0.8,0.55
20161122,4.23,0.56,0.35
20161123,7.04,0.67,0.59
20161124,0.66,-0.14,0.04
20161125,-1.51,-1.0,-0.15
20161126,0.96,1.0,0.07
20161127,0.15,0.0,-0.0
20161128,2.14,0.17,0.17
20161129,-4.84,-0.25,-0.43
20161130,6.37,0.33,0.53
20161201,8.69,0.5,0.73
20161202,0.87,0.0,0.06
